algorithm,delta,evaluation_iterations,gamma,goal_reward,iterations,memory,moves,openness,policy_iterations,runtime,seed,size,step_cost,work
DFS,,,,,,52,146,0.1,,0.00017240000306628644,3,40,,157
BFS,,,,,,42,94,0.1,,0.0013987999991513789,3,40,,1599
A*_Manhattan,,,,,,103,94,0.1,,0.0017416000046068802,3,40,,1167
A*_Euclidean,,,,,,60,94,0.1,,0.002086300009978004,3,40,,1355
Value_Iteration,0,,0.9,100,95,1600,94,0.1,,0.1717369556427002,3,40,-1,151905
Policy_Iteration,,463,0.9,100,,1600,94,0.1,51,0.3026468753814697,3,40,-1,740337
DFS,,,,,,147,424,0.1,,0.0006542000046465546,1,50,,658
BFS,,,,,,52,106,0.1,,0.0023071999894455075,1,50,,2492
A*_Manhattan,,,,,,117,106,0.1,,0.0014273999986471608,1,50,,949
A*_Euclidean,,,,,,85,106,0.1,,0.0029768999957013875,1,50,,1881
Value_Iteration,0,,0.9,100,108,2500,106,0.1,,0.32108020782470703,1,50,-1,269892
Policy_Iteration,,606,0.9,100,,2500,106,0.1,71,0.647381067276001,1,50,-1,1514394
DFS,,,,,,78,250,0.1,,0.00032639999699313194,2,50,,347
BFS,,,,,,52,114,0.1,,0.0022380000009434298,2,50,,2496
A*_Manhattan,,,,,,140,114,0.1,,0.0019668999884743243,2,50,,1354
A*_Euclidean,,,,,,106,114,0.1,,0.0031516000017290935,2,50,,2055
Value_Iteration,0,,0.9,100,117,2500,114,0.1,,0.3408987522125244,2,50,-1,292383
Policy_Iteration,,656,0.9,100,,2500,114,0.1,79,0.7039012908935547,2,50,-1,1639344
DFS,,,,,,97,278,0.1,,0.0004071000003023073,3,50,,422
BFS,,,,,,57,112,0.1,,0.0020809999987250194,3,50,,2491
A*_Manhattan,,,,,,140,112,0.1,,0.0018887000042013824,3,50,,1273
A*_Euclidean,,,,,,87,112,0.1,,0.003114599996479228,3,50,,2051
Value_Iteration,0,,0.9,100,113,2500,112,0.1,,0.33371400833129883,3,50,-1,282387
Policy_Iteration,,574,0.9,100,,2500,112,0.1,69,0.6130163669586182,3,50,-1,1434426
